course_code,course_name_chatgpt,course_name_manual,faculty_chatgpt,level_chatgpt,level_manual,sdgs_chatgpt,sdgs_manual,comparison_status,color,manual_source
4413SUSCH,Sustainability Challenge,Sustainability Challenge,"Technology, Policy and Management",MSc,MSc,[],[],match,GREEN,TPM.csv
4413THPC1,Thesis Preparation Course,,"Technology, Policy and Management",MSc,,[4],[],only_chatgpt,RED,
4413THPC2,Thesis Preparation Course,,"Technology, Policy and Management",MSc,,[4],[],only_chatgpt,RED,
4413TRIGL,"Transitions, Innovation en Governance","Transitions, Innovation en Governance","Technology, Policy and Management",MSc,MSc,"[7, 9, 12, 13, 16, 17]","[7, 9, 10, 11, 12, 13, 16]",mismatch,ORANGE,TPM.csv
4413TRP30Y,Thesis Research Project,Thesis Research Project,"Technology, Policy and Management",MSc,MSc,"[12, 13]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",mismatch,ORANGE,TPM.csv
4603BSENI,Entrepreneurship and Innovation,Entrepreneurship and Innovation,Applied Sciences,MSc,MSc,[],"[8, 9]",mismatch,ORANGE,AS.csv
4603BSFT3,Financing Technology Ventures,Financing Technology Ventures,Applied Sciences,MSc,MSc,[],[8],mismatch,ORANGE,AS.csv
4603BSLMP,Leading and Managing People,Leading and Managing People,Applied Sciences,MSc,MSc,[],[8],mismatch,ORANGE,AS.csv
4603BSMA4,Marketing Analytics,Marketing Analytics,Applied Sciences,MSc,MSc,[],[9],mismatch,ORANGE,AS.csv
4603BSMSX,Management Science,Management Science,Applied Sciences,MSc,MSc,[],[9],mismatch,ORANGE,AS.csv
4609COMNW,Complex Networks,,External institution,MSc,,[],[],only_chatgpt,RED,
5.100.017,Geological & Engineering Basics of Final Disposal,,External institution,MSc,,[],[],only_chatgpt,RED,
5.314.570,Geophysical Logging and Log Interpretation,,External institution,MSc,,[],[],only_chatgpt,RED,
5.318.482,Hydrogeophysics,,External institution,MSc,,[],[],only_chatgpt,RED,
5.326.003,Rockphysics Laboratory,,External institution,MSc,,[],[],only_chatgpt,RED,
5.326.004,Scientific Machine Learning,,External institution,MSc,,[],[],only_chatgpt,RED,
5.329.469,Engineering geophysics,,External institution,MSc,,[],[],only_chatgpt,RED,
5.330.255,Seismic Interpretation and Well Integration,,External institution,MSc,,[],[],only_chatgpt,RED,
5.331.439,Data analysis in Geoscience,,External institution,MSc,,[],[],only_chatgpt,RED,
5.331.582.01,Remote Sensing of Geohazards,,External institution,MSc,,[],[],only_chatgpt,RED,
5.331.582.02,Remote Sensing - Advanced Methods,,External institution,MSc,,[],[],only_chatgpt,RED,
5.331.637.01,Rockphysics,,External institution,MSc,,[],[],only_chatgpt,RED,
5.332.383,Underground Excavation,,External institution,MSc,,[],[],only_chatgpt,RED,
5.342.487,Computational Continuum Mechanics,,External institution,MSc,,[],[],only_chatgpt,RED,
5.345.471,Final Disposal and Projects,,External institution,MSc,,[],[],only_chatgpt,RED,
5.349.932,Neotectonics and Earthquake Geology,,External institution,MSc,,[],[],only_chatgpt,RED,
5.350.132,Fieldwork: Geophysical Logging and Log Interpretation,,External institution,MSc,,[],[],only_chatgpt,RED,
5.412.000,Research Module in Applied Geophysics,,External institution,MSc,,[],[],only_chatgpt,RED,
5.412.003,Modeling and Inversion for multi-method Geophysics,,External institution,MSc,,[],[],only_chatgpt,RED,
5000MFS23,5000MFS23 Bootcamp,Bootcamp,External institution,BSc,BSc,[],"[4, 10, 17]",mismatch,ORANGE,External.csv
5000MFS24,Frugal Innovation in Practice,Frugal Innovation in Practice,External institution,BSc,,[],"[4, 10, 17]",mismatch,ORANGE,External.csv
5000MFS25,Capturing Frugal Innovation,Capturing Frugal Innovation,External institution,BSc,,[],"[4, 9, 10, 12]",mismatch,ORANGE,External.csv
651-4079-00L,Reflection Seismology Processing,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4087-01L,Case Studies in Exploration and Environmental Geophysics,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4094-00L,Numerical Modelling for Applied Geophyscics,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4096-00L,Inverse Theory I: Basics,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4096-02L,Inverse Theory II: Applications,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4104-00L,Geophysical Field Work and Processing: Methods,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4106-03L,Geophysical Field Work & Processing: Preparation and Field Work,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4109-00L,Geothermal Energy,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4110-00L,Computational Methods in Seismic Data Analysis and Imaging,,External institution,MSc,,[],[],only_chatgpt,RED,
651-4240-00L,Geofluids,,External institution,MSc,,[],[],only_chatgpt,RED,
701-0106-00L,Mathematics V: Applied Deepening of Mathematics I-III,,External institution,MSc,,[],[],only_chatgpt,RED,
8.118.471,Economics of Technological Diffusion,,External institution,MSc,,[],[],only_chatgpt,RED,
8910PRD01,Instability and (In)securities: A case study of crisis,Instability and (In)securities: A case study of crisis,External institution,BSc,,[],"[10, 13, 15, 16]",mismatch,ORANGE,External.csv
8910PRD02,Disaster Studies,Disaster Studies,External institution,BSc,,[],"[5, 10, 11, 13, 16]",mismatch,ORANGE,External.csv
8910PRD03,Climate Change as a Political Challenge: Can We Prevent Disaster?,Climate Change as a Political Challenge: Can We Prevent Disaster?,External institution,BSc,,[13],"[12, 13, 16, 17]",mismatch,ORANGE,External.csv
AE1108-I,Aerospace Materials,Aerospace Materials,Aerospace Engineering,BSc,,[12],"[9, 12, 13]",mismatch,ORANGE,AE.csv
AE1108-II,Aerospace Mechanics of Materials,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1110-I,Introduction to Aerospace Engineering I,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1110-II,Introduction to Aerospace Engineering II,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1110-M,Introduction to Aerospace Engineering I,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1111-I,Exploring Aerospace Engineering,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1111-II,Engineering Drawing,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1111-III,Mentor Programme,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1130-I,Statics,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1130-II,Dynamics,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1205,Programming and Scientific Computing in Python for AE1,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1222-I,Design en Construction,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE1222-II,Aerospace Design en Systems Engineering Elements,,Aerospace Engineering,BSc,,[9],[],only_chatgpt,RED,
AE1241,Physics,,Aerospace Engineering,BSc,,[13],[],only_chatgpt,RED,
AE2111-I,Systems Design,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2111-II,Aerospace Design en Systems Engineering Elements,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2130-I,Aerodynamics I,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2130-I S,Aerodynamics I,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2130-II,Low Speed Wind Tunnel Test,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2130-III,Aerodynamics II,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2135-I,Structural Analysis en Design,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2135-I S,Structural Analysis and Design,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2135-II,Vibrations,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2220-I,Applied Numerical Analysis,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2220-II,Computational Modelling,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2220-II S,Computational Modeling,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2224-I,"Test, Analysis en Simulation",,Aerospace Engineering,BSc,,[4],[],only_chatgpt,RED,
AE2224-II,Artificial Intelligence for Aerospace Engineering,Artificial Intelligence for Aerospace Engineering,Aerospace Engineering,BSc,,"[13, 16]",[13],mismatch,ORANGE,AE.csv
AE2230-I,Flight en Orbital Mechanics,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2230-I S,Flight and Orbital Mechanics,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2230-II,Propulsion en Power,Propulsion en Power,Aerospace Engineering,BSc,,"[7, 8, 9]",[7],mismatch,ORANGE,AE.csv
AE2235-I,Aerospace Systems en Control Theory,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE2235-II,Signal Analysis and Telecommunication Principles,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3060,Exchange Period BSc,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3200,Design Synthesis,Design Synthesis,Aerospace Engineering,BSc,,"[4, 9, 12, 13]","[3, 7, 9, 11, 12, 13]",mismatch,ORANGE,AE.csv
AE3211-I,Systems Engineering en Aerospace Design,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3211-II,Production of Aerospace Systems,Production of Aerospace Systems,Aerospace Engineering,BSc,,"[9, 12, 13]","[9, 12]",mismatch,ORANGE,AE.csv
AE3212-I,"Aerospace Flight Dynamics en Simulation, including Flight Test",,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3212-I S,Aerospace Flight Dynamics and Simulation,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3212-II,"Simulation, Verification en Validation",,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3501-25,Air Transportation,Air Transportation,Aerospace Engineering,BSc,,"[9, 12, 13]","[9, 11, 12, 13]",match,GREEN,AE.csv
AE3502-14,"Airport Planning, Design and Operations","Airport Planning, Design and Operations",Aerospace Engineering,BSc,,[],"[9, 11, 12]",mismatch,ORANGE,AE.csv
AE3503,Strategic Planning for Airport Systems,Strategic Planning for Airport Systems,Aerospace Engineering,BSc,,[],"[9, 11]",mismatch,ORANGE,AE.csv
AE3504,Group Assignment Responsible Risk Management for Airport Development,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE3512-20,Asset Management,Asset Management,Aerospace Engineering,BSc,,"[7, 9, 13]","[7, 9, 12, 13]",mismatch,ORANGE,AE.csv
AE3513,Integration Assignment,Integration Assignment,Aerospace Engineering,BSc,,"[7, 13, 17]","[7, 9, 13, 14]",mismatch,ORANGE,AE.csv
AE3515,Basics of Aeroacoustics for Wind Energy,Basics of Aeroacoustics for Wind Energy,Aerospace Engineering,BSc,,"[7, 9, 13]","[7, 9, 11, 13]",match,GREEN,AE.csv
AE3516A,Fundamentals of Wind Energy I,Fundamentals of Wind Energy I,Aerospace Engineering,BSc,,"[7, 8, 9, 13]","[7, 9, 13]",mismatch,ORANGE,AE.csv
AE3516B,Fundamentals of Wind Energy II,Fundamentals of Wind Energy II,Aerospace Engineering,BSc,,"[7, 9, 13]","[7, 9, 12, 13]",mismatch,ORANGE,AE.csv
AE3997,Educational Research Project BSc,,Aerospace Engineering,BSc,,[],[],only_chatgpt,RED,
AE4006E,Sustainability in Engineering,Sustainability in Engineering,Aerospace Engineering,MSc,,"[4, 5, 12, 13, 16, 17]","[4, 5, 9, 10, 11, 12, 13, 16]",mismatch,ORANGE,AE.csv
AE4010,Research Methodologies,,Aerospace Engineering,MSc,,[4],[],only_chatgpt,RED,
AE4115-23,Experimental Simulations,Experimental Simulations,Aerospace Engineering,MSc,,[],[13],mismatch,ORANGE,AE.csv
AE4117,Fluid-Structure Interaction,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4120,Viscous Flows,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4130-22,Aircraft Aerodynamics,,Aerospace Engineering,MSc,,"[7, 9, 13]",[],only_chatgpt,RED,
AE4135,Rotor / wake Aerodynamics,,Aerospace Engineering,MSc,,"[7, 9, 13]",[],only_chatgpt,RED,
AE4136-24,CFD 2: Discretisation Techniques,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4138-18,CFD 4: Uncertainty Quantification,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4139,CFD 3: Large Eddy Simulation,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4140,Gas Dynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4143,Hypersonic Aerodynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4180,Flow Measurement Techniques,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4185,Fluid Flow Data Processing and Visualization,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4202,CFD for Aerospace Engineers,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4204,Knowledge Based Engineering,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4205,MDO for Aerospace Applications,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4206-24,Turbomachinery,,Aerospace Engineering,MSc,,[9],[],only_chatgpt,RED,
AE4238,Aero Engine Technology,Aero Engine Technology,Aerospace Engineering,MSc,,"[12, 13]","[7, 9, 13]",mismatch,ORANGE,AE.csv
AE4240,Advanced Aircraft Design I,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4260A,Fundamentals of Aeroacoustics,Fundamentals of Aeroacoustics,Aerospace Engineering,MSc,,[13],"[9, 11]",mismatch,ORANGE,AE.csv
AE4260B,Experimental Applications of Aeroacoustics,Experimental Applications of Aeroacoustics,Aerospace Engineering,MSc,,"[9, 13]","[9, 11]",mismatch,ORANGE,AE.csv
AE4261,Internal Flows,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4262,Combustion for Propulsion and Power Technologies,Combustion for Propulsion and Power Technologies,Aerospace Engineering,MSc,,"[12, 13]","[7, 9, 13]",mismatch,ORANGE,AE.csv
AE4263,"Modelling, Simulation and Application of Propulsion and Power Systems",,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4270,Control and Operations Project,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4301,Automatic Flight Control System Design,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4301P,Exercise Automatic Flight Control System Design,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4302,Avionics and Operations,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4304,Stochastic Aerospace Systems,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4304P,Stochastic Aerospace Systems Practical,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4311,Non-linear and Adaptive Flight Control,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4314-21,"Helicopter Performance, Stability and Control",,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4316,Aerospace Human-Machine Systems,Aerospace Human-Machine Systems,Aerospace Engineering,MSc,,[],"[8, 9, 11]",mismatch,ORANGE,AE.csv
AE4316P,Advanced Topics in Aerospace Human-Machine Systems,Advanced Topics in Aerospace Human-Machine Systems,Aerospace Engineering,MSc,,[],"[8, 9, 11]",mismatch,ORANGE,AE.csv
AE4317,Autonomous Flight of Micro Air Vehicles,,Aerospace Engineering,MSc,,[16],[],only_chatgpt,RED,
AE4320,System Identification of Aerospace Vehicles,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4321-15,Air Traffic Management,Air Traffic Management,Aerospace Engineering,MSc,,[],"[9, 11, 13]",mismatch,ORANGE,AE.csv
AE4322-24,Piloted Flight Simulation,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4323,Real-time Distributed Flight and Space Simulation,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4324,Physical Interaction for Aerial and Space Robots,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4350,Bio-inspired Intelligence and learning for Aerospace Applications,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4351,Robust Flight Control,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4352,Mathematical and human-inspired decision,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4353,Artificial Intelligence for Aerospace Control and Operations,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4422-20,Agent-based Modelling and Simulation in Air Transport,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4423-20,Airline Planning and Optimisation,Airline Planning and Optimisation,Aerospace Engineering,MSc,,[],"[9, 11, 13]",mismatch,ORANGE,AE.csv
AE4431-23,Aircraft noise,Aircraft noise,Aerospace Engineering,MSc,,[],"[9, 11, 13]",mismatch,ORANGE,AE.csv
AE4441-16,Operations Optimisation,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4446,Airport and Cargo Operations,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4462-17,Aircraft Emissions and Climate Effects,Aircraft Emissions and Climate Effects,Aerospace Engineering,MSc,,[13],"[7, 9, 13]",mismatch,ORANGE,AE.csv
AE4463P-23,Advanced Aircraft Noise Modelling and Measurement,Advanced Aircraft Noise Modelling and Measurement,Aerospace Engineering,MSc,,[13],"[9, 11, 13]",mismatch,ORANGE,AE.csv
AE4465,Maintenance Modelling and Analysis,Maintenance Modelling and Analysis,Aerospace Engineering,MSc,,[],"[9, 11, 12]",mismatch,ORANGE,AE.csv
AE4868-25,Numerical Astrodynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4870A,Rocket Motion,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4870B,Re-Entry Systems,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4872,Satellite Orbit Determination,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4874 I,Fundamentals of Astrodynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4876-24,Planetary Missions,Planetary Missions,Aerospace Engineering,MSc,,[],"[9, 13, 17]",mismatch,ORANGE,AE.csv
AE4889,Special Topics in Astrodynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4890-11,Planetary Exploration,Planetary Exploration,Aerospace Engineering,MSc,,[],"[9, 13, 15]",mismatch,ORANGE,AE.csv
AE4893-24,Physics of Planetary Interiors,Physics of Planetary Interiors,Aerospace Engineering,MSc,,[],"[9, 13, 15]",mismatch,ORANGE,AE.csv
AE4894,Practical Astrodynamics,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4895-25,Measurement Strategies for Planetary Science Missions,Measurement Strategies for Planetary Science Missions,Aerospace Engineering,MSc,,[],"[9, 15]",mismatch,ORANGE,AE.csv
AE4896,Space instrumentation,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
AE4897-25,Space Engineering Practical,,Aerospace Engineering,MSc,,[],[],only_chatgpt,RED,
